tweet_id,message
2293392,@AmazonHelp I just got a package I ordered. When opened it was empty. Please help.
439675,"@115850 I have done this ever time yet not won anything yet let hope best for this Tym
#amazonfestiveriddles #AmazonGreatIndianFestival"
2285056,"Amazon India
Purchased  BAJAJ IMMERSION ROD ORDER NO 171 5505723 9172339 DTD 6.11.2017 RECIVED STONES DELIVERY ON 11.11.2017. REALLY AMAZON IS GRATE https://t.co/85b17qPjHi"
1143399,@AmazonHelp Yes! And im still on hold! CS tried connecting the payment to a complete different order made with a different card!👀👀🤦🏻‍♀️!!! Solution?!!!
2124892,@115850 can someone from your support team get un touch with me asap.Pl DM for contact number
1576271,@AmazonHelp @115821 phish scam made me lol https://t.co/K0Fy8u2rVq
1623921,@AmazonHelp Erledigt! Vielen Dank!
2434577,@AmazonHelp It says that the request refund has been accepted on the 19th October I sent the parcel on the 21st by first class
1983533,@115830 absolutely fuming the customer service I have received is terrible email about this is been sent to Doug Gurr
246359,Seriously @115821 3rd time this SAME driver dropping boxes. Can hear the metal in box clank as he drops. You still do NOTHING about him?! 😠 https://t.co/DXqOF2mEYK
836454,@AmazonHelp We can keep this ping png going all day. But my last word is: ALL items showed immediate availability and I selected 3-5 days delivery 😡
757689,@AmazonHelp Finally got an estimated delivery date on my preordered SNES classic. Oct 19th. Guaranteed ship date was today...?
2733922,"@AmazonHelp The original expected delivery was friday at 9pm, then changed to Saturday 9pm, sunday 9pm, and now, tonight at 9pm. So, it basically changes the day of the delivery. I am checking my orders everyday."
2942013,"@115850 @951 I've bought a G5s Plus already for a family member. Will my order, if placed, for another one for personal use be cancelled now?"
281019,@AmazonHelp Yep yesterday then today
2914507,"@AmazonHelp what is going on with your customer support  on https://t.co/Xa88s4dd48 - the current person I'm chatting with has no idea what they're doing, at all. In fact they're  barely writing an English sentence. So infuriating."
1778523,"@AmazonHelp UPS
Tracking # 1Z885V9Y0335547354"
1301810,@115821 please stop delivering my packages to the wrong place 🙃
1043572,"Unknown charges has been deducted for @115850 prime membership, that too without my consent"
2086352,"@AmazonHelp I don't understand why not... every other courier does it, it's far more efficient - must waste so much time/money for you. No safe place, it's a gated complex."
981479,アマゾンから配達完了って通知が来たのにポストに何も入ってない
1622222,Y solo falta que @116928 me traiga mis mildliners. Increíble que Wish sea mucho más puntual 😑
954937,"I just figured? Since ppl already bought the items I want in the quantity I need, I'll be good for a while. @AmazonHelp is this a problem? https://t.co/uXquAjt5QN"
1652967,"Coup de gueule contre le nouveau système de livraison @120533 ! Pas de point de retrait, obligée d'être chez soi ! Je pense résilier Prime"
2781922,Ya tenemos en casita a Spidy #SpiderManHomecoming @116928 https://t.co/kbOeJsRaVv
225522,@AmazonHelp Is there an area to make a complaint and receive a response. All I had is the feedback that is not responded to.
1237581,"@AmazonHelp hola. Un pedido que debía llegar el lunes 23 sigue ""en camino"" pero no hay cambios ni notificaciones. ¿Me ayudan?"
383259,@AmazonHelp Have replied. Pls look into it. The matter reaches different hands to no solution.
332355,"hey @115821 @AmazonHelp Ridiculous refund case now. original creditcard account no longer exist, your staff wont refund to my other card"
1129840,"@116928 hola, me podrían ayudar con un pedido ?"
2530701,"@AmazonHelp Gracias, voy a ello."
1751829,@123644 I havea sent many times a question and Amazon does not answer.Why? Is about receibing my normal purchases to another country.Can you answer?
2482738,Just turned on my #Kindle and there is a strange mark on the inside of the screen. Any advice? @117634 @AmazonHelp @7108 https://t.co/Y9EVQn28CY
2529245,@AmazonHelp 分かりました、ありがとうございます( _ _)
392193,@AmazonHelp Ok. To confirm if i switch account country I won't be able to access videos etc?
744202,"i'm waiting for the album being DISPATCHED by amazon, WHY DOES IT TAKE SO LONG ? 
#YouAre https://t.co/sZ31yWUNpG"
1816429,"amazonからコンビニへの荷物到着を確認後待機してる人がこちら(=・ω・)ﾉ

受け取り案内のメールまだー？_(:3 」∠ )_"
2961689,Don’t know why I pay 4 amazon prime when things r 2 day late 😡@AmazonHelp
1189760,"@117795 Why do you have Foreign Films with NO ENGLISH SUBTITLES? Ex: CINDERELLA, PRINCESS AND THE PEA under Kids &amp; Family Movies."
327991,@115825  @AmazonHelp Irgendeine Idee? Euer Anruf Service funktioniert auch NICHT 😩😩😩 https://t.co/EICcEU8vKo
179602,Sick of #ecommerce #fraud. Lost all trusts on #AmazonIndia. Faced goof up from multiple times. U can't talk to their #helpline agent ever!
1662596,@AmazonHelp It's a 'What other items do customers buy after viewing this item?' listing on https://t.co/wFAppMGYeN
1559867,@AmazonHelp I am not talking anything special. I was only ordering monthly refills from Amazon Pantry.
461194,"@AmazonHelp USPS delivered one package, while my other packages shipped by AMZL are delayed for 2 days."
377032,"@AmazonHelp cancelled two orders on me, now both unavailable, been waiting months for them and got screwed."
1563867,@115850 @115850 plz help us out My order No:403-6607251-9373104 got a defective item same was returned yet no update from U r end pathetic
