tweet_id,groundedness,relevance,actionability,tone,safety
2360438,5,4,4,4,5
1733867,3,4,4,4,5
1188539,4,3,4,3,5
1203443,5,4,4,4,5
180633,3,3,3,4,5
2242055,3,2,4,3,5
2319726,5,3,4,4,5
2985490,2,2,4,3,5
1408065,5,3,4,3,5
2792012,5,4,4,3,5
172308,5,4,1,4,5
727126,4,4,4,4,5
179227,5,4,4,4,5
269483,5,3,4,4,5
2283447,3,3,3,4,5
2859935,5,5,4,4,5
450776,5,4,4,3,5
1021009,5,5,4,4,5
734683,3,3,4,4,5
693891,4,4,3,4,5
347936,5,3,4,3,5
2447448,5,3,3,4,5
2017527,2,3,3,4,5
2887941,5,3,4,4,5
1210658,3,4,4,4,5
527645,5,4,4,4,5
180957,3,3,4,4,4
1134050,5,4,3,4,5
2690730,5,5,4,4,5
2868432,5,3,4,4,5
2260643,2,5,4,4,5
392214,5,4,4,3,5
2821581,1,1,3,3,5
197845,3,4,5,4,5
619923,3,4,3,3,5
694345,5,4,4,4,5
549383,5,3,4,3,5
277836,5,4,4,3,5
420304,5,1,4,3,5
723655,5,4,3,3,5
1223652,3,4,4,4,5
2212145,5,3,3,3,5
18702,5,3,4,3,5
1273453,3,4,4,4,5
910341,3,4,3,4,5
2513669,5,4,4,4,5
339930,5,4,4,4,5
1243763,5,4,3,4,5
962651,5,3,3,3,5
1427899,5,4,3,3,5
418192,3,4,3,4,5
224398,4,4,4,3,5
1201250,3,5,4,4,5
1816328,3,5,4,4,5
1028972,5,4,4,3,5
2555117,5,5,5,4,5
857840,5,3,1,3,5
2671809,5,3,3,4,5
2240574,5,5,4,4,5
495794,5,3,3,4,5
1383044,5,4,4,4,5
1861662,5,3,4,4,5
324412,3,4,4,4,4
1260435,5,4,4,4,5
2910414,5,4,1,3,5
257158,5,5,4,4,5
1355355,5,5,4,4,5
1426724,3,4,4,4,5
2478911,5,5,4,3,5
2643350,4,3,3,3,4
1744141,5,3,3,3,5
2301902,4,4,3,4,5
179281,5,5,4,3,5
1089804,5,4,4,4,5
946583,5,3,3,3,5
1537580,3,4,4,4,5
313636,5,4,4,4,5
926365,3,4,4,4,5
1716715,5,3,4,4,5
2850597,5,4,4,4,5
739766,3,4,3,3,5
2536390,3,3,4,3,5
1171387,5,4,3,4,5
1816343,3,1,3,3,5
2036752,5,3,3,4,5
109871,5,4,1,3,5
505835,4,4,4,4,5
490438,4,4,3,3,5
2712528,3,3,4,4,5
2107243,3,3,3,3,5
1378717,3,3,4,3,5
2299080,5,3,4,3,5
1331874,5,4,4,4,5
69692,5,2,3,3,5
1955359,5,4,4,4,5
1043738,3,3,4,3,5
2938337,5,3,4,4,5
1300641,3,2,3,3,5
504896,5,5,2,4,5
757743,5,2,3,3,5
180824,3,4,4,4,5
2758189,2,3,4,4,5
1820591,5,5,3,4,5
1264572,5,4,4,3,5
2704957,5,4,4,3,5
1088763,5,5,4,4,5
1411555,5,4,4,4,5
1553294,5,4,5,3,5
545786,5,4,4,3,5
843124,5,1,3,3,5
322873,5,4,4,4,5
429075,5,2,3,3,5
1743689,3,3,4,4,5
218183,5,4,4,4,5
35864,5,3,3,3,5
2767618,3,4,4,3,5
1434026,5,3,4,4,5
124013,5,3,4,3,5
2621079,5,4,3,4,5
29943,5,3,4,3,5
2141351,5,3,4,4,5
2824028,3,3,3,3,5
893338,5,3,4,3,5
98812,3,3,4,4,5
349619,5,5,3,4,5
2324481,5,3,4,4,5
2899531,4,4,1,5,5
96750,5,4,3,4,5
247479,5,3,3,3,5
424294,5,4,4,4,5
2754598,5,3,4,4,5
191803,3,4,4,4,5
76022,5,3,4,4,5
1201249,5,3,4,3,5
2049089,5,4,3,3,5
2408663,5,3,3,3,5
2799310,5,3,3,4,5
729202,4,4,4,3,5
946648,5,4,3,4,5
2565638,4,2,4,3,5
1611170,5,3,3,3,5
2834308,5,4,4,4,5
2610640,5,5,1,3,5
1608086,5,3,3,3,5
2539030,5,3,3,4,5
504977,5,4,4,4,5
75936,5,3,4,4,5
1390682,5,3,3,3,5
1386499,3,3,3,2,5
2609889,5,4,4,4,5
448710,5,5,4,4,5
2824031,3,3,3,3,5
2884142,5,2,4,4,5
1057307,2,2,3,3,5
2850740,3,4,4,3,5
969929,5,3,4,4,5
970515,5,4,4,4,5
281131,3,4,3,3,5
381415,5,3,2,3,5
67472,5,3,4,4,5
345827,3,4,4,4,5
1337149,5,2,4,3,5
30506,3,4,4,4,5
1724677,5,3,3,3,5
2825533,5,3,1,4,5
524841,5,3,4,3,5
595675,5,2,3,4,5
50755,4,4,4,4,5
1731666,5,5,5,4,5
709984,5,4,3,4,5
1763160,5,3,4,3,5
1201951,5,3,4,4,5
2610681,5,4,4,4,5
1211144,5,3,4,3,5
861829,5,3,3,3,5
2979606,5,3,2,4,5
2107247,5,4,4,3,5
856936,5,2,4,4,5
1385292,4,3,4,3,5
2875085,4,3,4,4,5
2266736,5,3,3,3,5
358859,5,1,3,3,5
2549512,3,2,4,4,5
1500639,5,3,1,4,5
1302325,4,4,4,3,5
575351,4,4,1,5,5
351503,5,3,4,3,5
894266,3,3,3,3,5
307872,3,3,3,3,5
631705,3,2,3,3,5
2205540,4,3,3,3,5
2807326,5,4,4,3,5
57436,5,4,4,4,5
2761235,5,5,4,3,5
820644,4,2,3,3,5
2584254,5,3,3,3,5
879214,5,3,4,4,5
294847,5,3,4,4,5
2392659,4,3,3,4,5
