tweet_id,message,real_reply,language,cluster_id,sampled_by,intent,expected_action,note
2360438,"@AmazonHelp \o/ Yes! I try to buy a book that just exists in Fr. Lol. But I'm Brazilian n it doesn't ship to Brazil. So I try to send it a payd shipping service in US, buying with a Inter Credit card, limit ok. So Azn email me blocking my account. What's happening 😱 I can't do this?","@681660 We're sorry for the inconvenience, it's a security measure to check the information given on our website, in order to unlock your account, please follow the instructions received by email.
^KE",en,3,cluster_floor,other,escalate,Account got blocked.
1733867,@AmazonHelp The 3 orders that are currently delayed are USPS.,@523619 Sorry to hear this - please contact USPS so they can assist : https://t.co/mRrnHUJUdO ^TD,en,19,cluster_floor,delivery_late,auto,
1188539,@115821 @AmazonHelp this people ripping amazon.in &amp; people money. Selling GV from other people money. Catch &amp; take action. I give more proof https://t.co/0UJrFvsiAM,@399496 We've passed this along internally to the concerned team for a review. Thanks for flagging. ^HK,en,6,cluster_floor,other,auto,
1203443,注文を終えた商品がずっとカートに入りっぱなしになってる @116313,@402713 アプリをご利用の場合は一度アプリの強制停止、再起動をお試しください。ブラウザの場合、キャッシュの削除をお試しください。問題が解決しない場合以下リンクよりカスタマーサービスにご連絡ください。https://t.co/J6YEizo6qC HM,ja,15,cluster_floor,other,escalate,
180633,"@116928 , qué solución dáis  cuando no cumplís  plazos de entrega de productos que repercuten directamente en el desempeño de mi trabajo?","@158465 Lamento el inconveniente, Macarena, me podrías informar ¿Cuál era la fecha estimada de entrega de tu pedido? ^AZ",es,10,cluster_floor,delivery_late,escalate,
2242055,"@AmazonHelp Non il n'est pas disponible le seul document est un reçu où il est marqué partout qu'il n'a pas valeur de facture..
Vendeur relancé en espérant avoir une réponse.
Merci à vous bonne soirée :)","@653660 J'espère que vous recevrez une réponse rapidement, je vous souhaite également une excellente soirée et un bon Week-end.
^KE",fr,2,language_floor,other,escalate,
2319726,"Aliás, parabéns/obrigado @117086 por mandar a HQ com marcador de página. Adoro fazer coleção de marcador 💙","@672337 Olá Gabriel, Absolute Sandman é demais como fala de Morfeus, é bom demais! 😍😴 Ficamos felizes de aumentar um pouquinho mais a sua coleção.❤ ^DA",pt,5,cluster_floor,no_action_needed,auto,
2985490,@AmazonHelp Got help with fraud on a/c. could not reset my p/word as it came up with error. Now finally got to send an email about it to you &amp; aparently I don't have an ac under my email. I have yrs of emails etc from you????? I also pay for prime. Please find my a/c!,"@761050 We're unable to access account or order details if your account is currently on hold. I suggest working with our Account Specialists for more information. If you haven't received an e-mail from them, please reach out here: https://t.co/jzvkhdlrK5 ^NN",en,8,fraud_seed,account_access,escalate,
2315697,@AmazonHelp Just whining into the void. Didn't expect the void to reply. :) Only a minor shipping delay. Will contact support if it doesn't arrive. Thx!,@671449 You can rely on us to help you out! Definitely give us a call if you need additional assistance. ^EB,en,18,cluster_floor,other,auto,"delivery little late, but they themselves said they will contact and don't have problem"
1408065,"@115821 This isn't an acceptable way to deliver any package, let alone one that was late. #Amazon #AmazonDelivery #theworst https://t.co/H0sb3kpXn1","@447286 I'm sorry about this, Jonathan! Who's the carrier for this delivery &amp; has other package arrived? https://t.co/Y5jpI9gRhE ^FR",en,20,cluster_floor,delivery_courier_issue,auto,
2792012,@115850 please refer to email i sent to __email__ by __email__,"@779219 We will not be able to directly access your account over social platform. Kindly contact us from here : https://t.co/TdDksLo6Mf and we'll look into this. Please don't provide your details, we consider it personal information. Our Twitter page is visible to public.^SD",en,8,cluster_floor,other,escalate,
172308,"@AmazonHelp No necesito ayuda, solo agradecer por el regalo del ebook al comprar el Kindle, un saludo 👋🏻😄",@156265 Con gusto Cuper. Que lo disfrutes mucho. 😃👏 ^JJ,es,3,cluster_floor,other,escalate,
727126,"@115850 I have received incomplete product, 1 roll inplace of 2 rolls, when complained refund initiated but i dont want refund i want item",@216941 We'd like to have a look into this. Kindly report it here: https://t.co/2t6DQoUmNZ and our team will revert shortly. ^AB,en,2,cluster_floor,item_wrong_or_missing,escalate,
179227,@128308 @12379 Amazon se jo product mangate he. pekit m wo product nahi nikalta.,@171279 That's quite a remark. I would like to help! May I know what went wrong? ^HR,unknown,13,language_floor,item_wrong_or_missing,escalate,"its not a complaint, its blaming for item wrong in general"
269483,I bought a firestick from @115821 in may and it died on me !!!!,@180271 Uh oh! We're here for you. Give us a ring so we can try some troubleshooting and go over options: https://t.co/qRKlUKYnTu ^MB,en,15,cluster_floor,device_or_content_issue,escalate,
2283447,@115850 all my last experiences with you. 😤😤😤 https://t.co/ycw8E4cYi0,"@663619 That seems to be strange, have you reported this to our support team? If not get in touch with our support team here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SU",en,11,cluster_floor,service_feedback,escalate,
2859935,"@117086 entregou meus livros comprados na Black Friday rapidinho, tudo dentro do plastiquinho, alinhandinho na caixinha, e estou bem feliz. 😍","@794727 Que ótimo que gostou e está feliz, isso nos faz muito felizes mesmo! Boa leitura! ^JD https://t.co/TV20ymCzCQ",pt,3,cluster_floor,other,escalate,
450776,@AmazonHelp No me han resuelto nada... hay algún numero donde pueda recibir ayuda?,"@221876 Dime, ¿qué te indicaron nuestros colegas de Servicio al Cliente? ^CR",es,1,cluster_fill,other,escalate,
1021009,"@115830 My account has been hacked and email on my account changed, please help!!",@361606 I'm sorry to hear this! We'd like to take a better look into this with you. Please reach us here: https://t.co/zYVX1Qi29G ^KP,en,7,cluster_floor,fraud_or_unauthorized,escalate,
