tweet_id,intent_gold,intent_pred,reason,message,reply
2690730,service_feedback,service_feedback,confident_and_grounded,Holy crap @115821’s telephon customer service is terrible.,We're sorry you had a bad experience. Could you share what happened (no personal info)? You can also view the status of your orders from the Orders page. We're here to help.
392214,delivery_wrong_location,delivery_wrong_location,below_escalation_threshold:repeat_contact,Extremely frustrated with @118706 and @115821. The former is trying AGAIN to deliver a package to the wrong address.,"Sorry for the trouble. Please check your Orders page or tracking details and update the address if needed. If the issue persists, contact us via phone, chat, or e‑mail for assistance."
910341,other,service_feedback,confident_and_grounded,Special shout out to CS Rep Nupur at @115821  for being a rock star and helping me sort through crazy complications of a cross country move.,"Thank you for the shout out! We're thrilled Nupur helped with your cross‑country move. If you need anything else, check your Orders or Tracking page for updates. ^AS"
224398,other,contact_request,confident_and_grounded,@AmazonHelp Mera contact nahi hua so plz forward you this issue to your team,"Hi, we can't access your account via Twitter. Please go to your Orders page or use Amazon's Help center to open a support case and we’ll get back to you. Thank you!"
1744141,delivery_late,contact_request,below_escalation_threshold:repeat_contact,"@2600 I ordered something that should have arrived on 3rd oct, is there anyone English speaking on your team that can help me please?",Sorry for the delay. Check your Orders page for shipping status or contact our support team for assistance.
313636,service_feedback,service_feedback,confident_and_grounded,@AmazonHelp I HAVE ALREADY SPOKEN TO YOUR TEAM. THEY DON'T GIVE A CRAP!,"We're sorry you haven't heard back. We’ve reached out via email. Please check your inbox and spam folder, and reply through our help page or Orders page for further assistance."
180824,no_response_received,no_response_received,confident_and_grounded,@AmazonHelp I did even mark so many times to @115851 Jeff can you please acknowledge.,We've received your message and Jeff is on it. Please check your Orders page for updates. We appreciate your patience.
2704957,contact_request,contact_request,confident_and_grounded,@AmazonHelp I would like to talk to one of you. Please DM me so that I can share my account info and contact number.,Sharing account info over Twitter isn’t secure. Please use the chat or phone link in the Amazon app or website to speak to a rep. You can view your orders in the Orders tab. Let us know if you need further help.
2824031,service_feedback,service_feedback,confident_and_grounded,"@AmazonHelp Lets see whats the solution that you can provide. But seriously this is the worst support i have ever received from any company. Everything seems fake here. Application says different story, support rep says different story.","We're sorry you’re disappointed. We’ve forwarded your feedback internally and will update you soon. In the meantime, review your Orders page for status. Thank you for your patience."
345827,no_response_received,service_feedback,confident_and_grounded,"@AmazonHelp I have already got in touch with customer service, they need 4 days to investigate. Why did you need such a long time",@AmazonHelp Sorry for the delay. Our investigation can take 3‑7 business days. Please check your Orders page or the Tracking page for updates. We’re working on this and appreciate your patience.
