tweet_id,message,reply,sources,groundedness,relevance,actionability,tone,safety,note
734683,¡¡¡¡Por fin lo tengo!!! ¡Deseando leerlo! 😍😍😍😍 @42180  @115821 https://t.co/ec2bYVI7Hw,"¡Disfruta la lectura! Si necesitas ayuda, revisa la página de Pedidos o el seguimiento del envío. ¡Gracias por comprar con nosotros! 💕","- @295778 ¡Que disfrutes la lectura, Miriam! 💕 ^VL",5,5,5,5,5,
709984,"@AmazonHelp hola, me han cobrado un recibo de Amazon prime cuando yo no he usado nunca el prime, como puedo solucionar esto?","Hola, lamento el inconveniente. Si te han cobrado por Amazon Prime sin haberlo contratado, revisa tu historial de pedidos y contacta con nuestro servicio al cliente por teléfono o chat para resolverlo y solicitar reembolso.","- @289771 Hola, Miguel. ¿Podrías indicarnos si tu cuenta está registrada en https://t.co/nUUp5MLhYl, https://t.co/Xxn35fEBwC (1/2)
- @691505 I'm so sorry for the concern, Katie! Please contact us by phone or chat and we'll be happy to help investigate this closer for you: https://t.co/JzP7hlA23B. Please keep us posted!  ^SD",4,4,5,5,5,
1411555,"なんか Amazonらしきところこらこんなんきたよ。
あからさまな詐欺。
Amazonからならまず登録メールに来るでしょ。 https://t.co/0wRK83b9Es",ご不安の件、Amazonからのメールは登録メールのみ送られます。詐欺メールは当社サイトや注文履歴から確認できます。リンクをクリックせず、お手元の注文ページでご確認ください。,"- @448073 こんにちは、アマゾンです。画像のように当サイトの名をかたる架空請求詐欺やフィッシングが増えておりますので、今後もお気を付けいただければと存じます🙇 YM
- @452003 アマゾン公式です。当サイトや実在の企業を装い個人情報を取得しようとする詐欺が発生しているようですので、ご注意くださいませ。詳しくはこちらをご参照ください。https://t.co/TSgJWbSDTn ET
- @820181 ご存じのことと思いますが、Amazonからのメッセージではありません。同様のメッセージを今後受信しないためにも、ご利用の携帯会社の窓口へ受信したメッセージをご申告いただくことをおすすめいたします。　MH https://t.co/ZUlKS8v0Eu
- @350901 リプライ失礼します、アマゾンです。当サイトや企業を装い個人情報を取得しようとする詐欺が発生しているようですので、どうぞご注意くださいませ。こちらも合わせてご参照ください。https://t.co/oY5SVTVJEb ET
- @533089 Amazonを騙るEメールやSMSを受信された場合、連絡したり個人情報を登録したりしないようご注意ください。当サイトからのEメールかどうかの識別方法については、リンクのヘルプページをご参照ください。https://t.co/xWXio7AP2Z TN",5,5,5,4,5,
1331874,@AmazonHelp I still do not have my players for madden and I linked the accounts https://t.co/7kqsCmgMCV,"Hi! It looks like you haven't received your Madden players after linking accounts. Please visit the help page for linking accounts and follow step 3, or check your Orders page for any pending items.","- @430718 Hey, Jaylan. I think this page should help you: https://t.co/NjjuIvUHss, especially number 3. Please let us know! ^LB",5,5,5,5,5,
2107247,"@AmazonHelp Ive changed password, added 2 step verification, refunded and deleted the books, deleted the reviews, and made a claim to the amazon support email.",Thank you for the updates. Our account specialists will review your case after we receive your email. Please check your Orders page for status.,"- @621838 Thanks for confirming, the accounts specialists should investigate this further once the email is received. ^JJ",5,5,5,5,5,
1500639,@116618 is so shit. half an hour trying to stream Mr Robot. 'Insufficient Bandwidth'. Torrent download it at 5.7Mbps in 5 minutes.,"Hi @116618, sorry to hear the stream won't play. What device are you using? Can you play other titles? Let us know so we can help further. Thanks for reaching out!","- @468408 Oh no! What device are you streaming on? Can you stream other content okay? Please let us know, we're here to help. ^JO",5,4,5,5,5,
2242055,"@AmazonHelp Non il n'est pas disponible le seul document est un reçu où il est marqué partout qu'il n'a pas valeur de facture..
Vendeur relancé en espérant avoir une réponse.
Merci à vous bonne soirée :)",Nous avons bien reçu votre message. Le reçu que vous avez est suffisant pour le remboursement. Vérifiez votre page Commandes ou le suivi de votre colis pour les mises à jour.,"- @653660 J'espère que vous recevrez une réponse rapidement, je vous souhaite également une excellente soirée et un bon Week-end.
^KE",4,5,5,4,5,
2565638,"@AmazonHelp Si il n'y avait que moi. Comment pouvez vous fermer les yeux devant un tel amateurisme. J'ai un ami qui vient juste d'en faire les frais. Bref... Ouvrez les yeux, renvoyez le colis ne résoud pas le problème.","Bonjour, pour résoudre le problème de votre colis, contactez notre Service Client par téléphone, chat ou e‑mail. Vous pouvez également consulter l’état de votre commande et le suivi sur votre page « Mes commandes ». Merci.","- @727884 Si vous avez rencontrez un souci avec une commande précise, je vous invite à le signaler à notre service client, joignable par téléphone (appel gratuit depuis un poste fixe), chat ou par mail depuis le lien suivant : https://t.co/qzuu0dgDXz. ^ASZ
- @247939 C'est parce que nous n'avons pas accès à votre compte via Twitter, nous vous demandons de contacter notre service client pour y remédier.",5,3,3,4,5,
179227,@128308 @12379 Amazon se jo product mangate he. pekit m wo product nahi nikalta.,"नमस्ते! कृपया अपने ऑर्डर पेज पर जाँच करें कि आइटम कहाँ है। यदि यह नहीं मिला या देर से पहुँच रहा है, तो रिटर्न/रिफंड के लिए सहायता पृष्ठ देखें। हमें बताइए ताकि हम मदद कर सकें।",- @171279 That's quite a remark. I would like to help! May I know what went wrong? ^HR,2,2,3,3,5,
345827,"@AmazonHelp I have already got in touch with customer service, they need 4 days to investigate. Why did you need such a long time",@AmazonHelp Sorry for the delay. Our investigation can take 3‑7 business days. Please check your Orders page or the Tracking page for updates. We’re working on this and appreciate your patience.,"- @198304 Sorry about the conflicting tracking update. Kindly drop in your details here: https://t.co/beaaDm0muc and we'll check. ^GK
- @665592 Hi Marta. Apologies for the poor experience. Can you please forward your details here - https://t.co/tkLCr7DNil we'd like to investigate further. ^TP
- @330920 I understand your disappointment and I'd like to help you with this. Please share your details here : https://t.co/GIJyeYqKE0 and we'll connect with you soon. ^AS",4,5,4,5,5,
